#;$id;libellé SEDA;libellé anglais
;;application/vnd.dvb.dvbj;vnd.dvb.dvbj
;;application/vnd.dvb.esgcontainer;vnd.dvb.esgcontainer
;;application/vnd.dvb.ipdcdftnotifaccess;vnd.dvb.ipdcdftnotifaccess
;;application/vnd.dvb.ipdcesgaccess;vnd.dvb.ipdcesgaccess
;;application/vnd.dvb.ipdcesgaccess2;vnd.dvb.ipdcesgaccess2
;;application/vnd.dvb.ipdcesgpdd;vnd.dvb.ipdcesgpdd
;;application/vnd.dvb.ipdcroaming;vnd.dvb.ipdcroaming
;;application/vnd.dvb.iptv.alfec-base;vnd.dvb.iptv.alfec-base
;;application/vnd.dvb.iptv.alfec-enhancement;vnd.dvb.iptv.alfec-enhancement
;;application/vnd.dvb.notif-aggregate-root+xml;vnd.dvb.notif-aggregate-root+xml
;;application/vnd.dvb.notif-container+xml;vnd.dvb.notif-container+xml
;;application/vnd.dvb.notif-generic+xml;vnd.dvb.notif-generic+xml
;;application/vnd.dvb.notif-ia-msglist+xml;vnd.dvb.notif-ia-msglist+xml
;;application/vnd.dvb.notif-ia-registration-request+xml;vnd.dvb.notif-ia-registration-request+xml
;;application/vnd.dvb.notif-ia-registration-response+xml;vnd.dvb.notif-ia-registration-response+xml
;;application/vnd.dvb.notif-init+xml;vnd.dvb.notif-init+xml
;;application/vnd.dvb.pfr;vnd.dvb.pfr
;;application/vnd.dvb.service;vnd.dvb.service
;;application/vnd.dxr;vnd.dxr
;;application/vnd.dynageo;vnd.dynageo
;;application/vnd.easykaraoke.cdgdownload;vnd.easykaraoke.cdgdownload
;;application/vnd.ecdis-update;vnd.ecdis-update
;;application/vnd.ecowin.chart;vnd.ecowin.chart
;;application/vnd.ecowin.filerequest;vnd.ecowin.filerequest
;;application/vnd.ecowin.fileupdate;vnd.ecowin.fileupdate
;;application/vnd.ecowin.series;vnd.ecowin.series
;;application/vnd.ecowin.seriesrequest;vnd.ecowin.seriesrequest
;;application/vnd.ecowin.seriesupdate;vnd.ecowin.seriesupdate
;;application/vnd.emclient.accessrequest+xml;vnd.emclient.accessrequest+xml
;;application/vnd.enliven;vnd.enliven
;;application/vnd.epson.esf;vnd.epson.esf
;;application/vnd.epson.msf;vnd.epson.msf
;;application/vnd.epson.quickanime;vnd.epson.quickanime
;;application/vnd.epson.salt;vnd.epson.salt
;;application/vnd.epson.ssf;vnd.epson.ssf
;;application/vnd.ericsson.quickcall;vnd.ericsson.quickcall
;;application/vnd.eszigno3+xml;vnd.eszigno3+xml
;;application/vnd.etsi.aoc+xml;vnd.etsi.aoc+xml
;;application/vnd.etsi.cug+xml;vnd.etsi.cug+xml
;;application/vnd.etsi.iptvcommand+xml;vnd.etsi.iptvcommand+xml
;;application/vnd.etsi.iptvdiscovery+xml;vnd.etsi.iptvdiscovery+xml
;;application/vnd.etsi.iptvprofile+xml;vnd.etsi.iptvprofile+xml
;;application/vnd.etsi.iptvsad-bc+xml;vnd.etsi.iptvsad-bc+xml
;;application/vnd.etsi.iptvsad-cod+xml;vnd.etsi.iptvsad-cod+xml
;;application/vnd.etsi.iptvsad-npvr+xml;vnd.etsi.iptvsad-npvr+xml
;;application/vnd.etsi.iptvservice+xml;vnd.etsi.iptvservice+xml
;;application/vnd.etsi.iptvsync+xml;vnd.etsi.iptvsync+xml
;;application/vnd.etsi.iptvueprofile+xml;vnd.etsi.iptvueprofile+xml
;;application/vnd.etsi.mcid+xml;vnd.etsi.mcid+xml
;;application/vnd.etsi.overload-control-policy-dataset+xml;vnd.etsi.overload-control-policy-dataset+xml
;;application/vnd.etsi.sci+xml;vnd.etsi.sci+xml
;;application/vnd.etsi.simservs+xml;vnd.etsi.simservs+xml
;;application/vnd.etsi.tsl+xml;vnd.etsi.tsl+xml
;;application/vnd.etsi.tsl.der;vnd.etsi.tsl.der
;;application/vnd.eudora.data;vnd.eudora.data
;;application/vnd.ezpix-album;vnd.ezpix-album
;;application/vnd.ezpix-package;vnd.ezpix-package
;;application/vnd.f-secure.mobile;vnd.f-secure.mobile
;;application/vnd.fdf;vnd.fdf
;;application/vnd.fdsn.mseed;vnd.fdsn.mseed
;;application/vnd.fdsn.seed;vnd.fdsn.seed
;;application/vnd.ffsns;vnd.ffsns
;;application/vnd.fints;vnd.fints
;;application/vnd.FloGraphIt;vnd.FloGraphIt
;;application/vnd.fluxtime.clip;vnd.fluxtime.clip
;;application/vnd.font-fontforge-sfd;vnd.font-fontforge-sfd
;;application/vnd.framemaker;vnd.framemaker
;;application/vnd.frogans.fnc;vnd.frogans.fnc
;;application/vnd.frogans.ltf;vnd.frogans.ltf
;;application/vnd.fsc.weblaunch;vnd.fsc.weblaunch
;;application/vnd.fujitsu.oasys;vnd.fujitsu.oasys
;;application/vnd.fujitsu.oasys2;vnd.fujitsu.oasys2
;;application/vnd.fujitsu.oasys3;vnd.fujitsu.oasys3
;;application/vnd.fujitsu.oasysgp;vnd.fujitsu.oasysgp
;;application/vnd.fujitsu.oasysprs;vnd.fujitsu.oasysprs
;;application/vnd.fujixerox.ART4;vnd.fujixerox.ART4
;;application/vnd.fujixerox.ART-EX;vnd.fujixerox.ART-EX
;;application/vnd.fujixerox.ddd;vnd.fujixerox.ddd
;;application/vnd.fujixerox.docuworks;vnd.fujixerox.docuworks
;;application/vnd.fujixerox.docuworks.binder;vnd.fujixerox.docuworks.binder
;;application/vnd.fujixerox.HBPL;vnd.fujixerox.HBPL
;;application/vnd.fut-misnet;vnd.fut-misnet
;;application/vnd.fuzzysheet;vnd.fuzzysheet
;;application/vnd.genomatix.tuxedo;vnd.genomatix.tuxedo
;;application/vnd.geocube+xml;vnd.geocube+xml
